epoch,train_loss,val_loss,elapsed_sec
1,0.0008459685628076259,0.00014642499537572643,0.6509106159210205
2,0.00012692018302472549,0.0001219023046521411,1.2674689292907715
3,0.00010725025641730058,0.00010497937320814103,1.9610860347747803
4,9.139922817390913e-05,8.480253980658606e-05,2.5588786602020264
5,7.889486670128841e-05,7.492056479522828e-05,3.1566290855407715
6,7.999528958597935e-05,0.00010246855222997314,3.679952383041382
7,6.885192604781427e-05,7.658912405140308e-05,4.205751180648804
8,6.28152755585636e-05,6.428064137518177e-05,4.730700492858887
9,5.6954989528100115e-05,6.079927168431385e-05,5.245991468429565
10,5.5088772203311316e-05,5.935211047011463e-05,5.76546835899353
11,5.04174298049284e-05,5.603774813688331e-05,6.273223400115967
12,4.7747850713406365e-05,5.126089684070601e-05,6.791686296463013
13,4.4342732560387944e-05,4.7127845437565073e-05,7.338750600814819
14,4.496849437353771e-05,6.179720127610253e-05,7.881480693817139
15,4.190971813745426e-05,4.9938213745503436e-05,8.44148063659668
16,3.8675438960713445e-05,4.2041630969166204e-05,8.987929105758667
17,3.6910974688562246e-05,5.432091043824389e-05,9.521418571472168
18,3.786307381244823e-05,3.971840581045076e-05,10.047820329666138
19,3.3104062209421134e-05,3.694898517591631e-05,10.583287477493286
20,3.219017588317553e-05,4.540604537465651e-05,11.106276512145996
21,3.1811336840108856e-05,4.799725108649552e-05,11.635812044143677
22,2.9657747854624454e-05,4.6276880795308504e-05,12.149115085601807
23,2.988589548971876e-05,3.984587371483434e-05,12.657165288925171
24,2.930157537508485e-05,2.718895453492937e-05,13.187748193740845
25,2.8175913323760785e-05,3.3761408775705916e-05,13.718834161758423
26,2.596930164854305e-05,3.652439155775016e-05,14.242594003677368
27,2.656059102348674e-05,3.0946821828400036e-05,14.776044607162476
28,2.5260380849844e-05,3.732527209971913e-05,15.312682390213013
29,2.6169834711527365e-05,3.707726804511563e-05,15.846689462661743
30,2.4887866241155013e-05,2.9234933841692083e-05,16.39130711555481
31,2.3733823044445387e-05,3.154176318252833e-05,16.924851179122925
32,2.3501824027637003e-05,2.7631560108521982e-05,17.45892596244812
33,2.0808119301910335e-05,2.5002692739149154e-05,17.99131965637207
34,2.2073572507886307e-05,2.8238251259240257e-05,18.5257408618927
35,2.1908944869012656e-05,2.4746832008808085e-05,19.04759669303894
36,2.238679308603356e-05,2.7462154309743503e-05,19.580212593078613
37,2.1090462192055803e-05,2.175393021527178e-05,20.11933183670044
38,1.9972648176324803e-05,2.504637468749174e-05,20.69060468673706
39,1.892079475824219e-05,2.8233721135206273e-05,21.22483468055725
40,1.8606990900511978e-05,2.5132868243797675e-05,21.77788209915161
41,2.023976122028382e-05,2.373581057465252e-05,22.325066089630127
42,1.7337398409804205e-05,2.3420931639417247e-05,22.905930280685425
43,2.0561284754266192e-05,2.231516283487347e-05,23.462425470352173
44,1.676913264043705e-05,2.566238867696979e-05,24.014681339263916
45,1.6304819372469768e-05,2.4110762417796097e-05,24.583729028701782
46,1.591409521245568e-05,2.3090647613847793e-05,25.137962341308594
47,1.8827424997716925e-05,2.299381461093214e-05,25.684666872024536
48,1.6127389346203095e-05,2.370818132292214e-05,26.22758913040161
49,1.4677979514601521e-05,2.360567025248259e-05,26.764805793762207
50,1.562809579910955e-05,2.6902193560919287e-05,27.419169664382935
51,1.7174580226621268e-05,2.452630064620775e-05,28.06055998802185
52,1.4630131312160505e-05,2.4414864738797475e-05,28.657551527023315
53,1.577423115875241e-05,2.1312712237023e-05,29.218761205673218
54,1.6697626436619144e-05,2.3081955354243718e-05,29.794430255889893
55,1.5830529440145926e-05,2.552659913782941e-05,30.481950759887695
56,1.4698180048623753e-05,2.0680403924669447e-05,31.14487385749817
57,1.534636262636667e-05,2.6650901867170327e-05,31.784285306930542
58,1.4846739066360142e-05,1.9908750812335918e-05,32.52694272994995
59,1.3147004790316889e-05,2.010727757230678e-05,33.154051542282104
60,1.404344296340093e-05,2.2192370251323616e-05,33.77114939689636
61,1.412747096096769e-05,2.0562011764301546e-05,34.324941635131836
62,1.3233117638860633e-05,1.9701487872225698e-05,34.886008977890015
63,1.3324119967242781e-05,1.739642441896626e-05,35.44656538963318
64,1.1798865825157075e-05,1.9851566286911582e-05,36.0115864276886
65,1.3194243587721709e-05,1.857342547598911e-05,36.587783098220825
66,1.4119878208623903e-05,1.7234514289847987e-05,37.15895342826843
67,1.301320626138616e-05,1.7902092904593323e-05,37.74010968208313
68,1.1938150555434054e-05,1.7501959334793676e-05,38.31875443458557
69,1.3013672033091357e-05,2.2820322682710418e-05,38.88764190673828
70,1.3242969224449826e-05,2.017588163261844e-05,39.47326636314392
71,1.3110524516157228e-05,1.847926053334406e-05,40.04874014854431
72,1.1835185672296825e-05,1.7309762214712394e-05,40.61562180519104
73,1.1459657930906735e-05,1.9421465586225466e-05,41.1904182434082
74,1.398939654149153e-05,2.130882266204866e-05,41.779162883758545
75,1.2295571088351732e-05,2.373663994171981e-05,42.36396336555481
76,1.382006410831861e-05,1.694128871384214e-05,42.951772928237915
77,1.2468222622190954e-05,1.8454485235693775e-05,43.551605224609375
78,1.1076347457386607e-05,1.86432698107718e-05,44.15008020401001
79,1.2284407707753393e-05,1.5047532450566156e-05,44.76283860206604
80,1.3061220240303146e-05,1.8949964939991653e-05,45.3730788230896
81,1.2431434885066016e-05,1.6394067326381204e-05,45.96671462059021
